"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Afghanistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26556754","1"
"Åland Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","28792","2"
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2895947",""
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2889104",""
"Algeria","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","39114275",""
"American Samoa","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","61811","3"
"Andorra","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","70155","2"
"Angola","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2016","25789024",""
"Angola","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","25901182","4"
"Anguilla","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2018","14221.23",""
"Antigua and Barbuda","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","89391","5"
"Argentina","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2017","42669500","6"
"Armenia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","3013839",""
"Aruba","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2022","106807.437888926",""
"Australia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","23475686","7"
"Austria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","8543974.75",""
"Austria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","8507786",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9477119",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","9535100",""
"Bahamas","2014","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","364000",""
"Bahamas","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","365920","6"
"Bahrain","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1314562","8"
